,sensor_id,location.y,location.x,id
0,ENKZYW001792,487.47,355.19,H-3F
1,ENKZYW001804,313.77,203.47,H-3F
2,ENKZYW001819,153.54,387.91,H-3F
3,ENKZYW001837,134.67,609.73,H-3F
4,ENKZYW001848,156.61,891.23,H-3F
5,ENKZYW001856,314.84,920.65,H-3F
6,ENKZYW001882,488.12,875.91,H-3F
7,ENKZYW001883,449.36,351.34,H-4F
8,ENKZYW001884,321.73,208.76,H-4F
9,ENKZYW001888,141.12,306.65,H-4F
10,ENKZYW001900,139.42,602.35,H-4F
11,ENKZYW001925,140.07,788.43,H-4F
12,ENKZYW001935,330.12,919.71,H-4F
13,ENKZYW001958,446.13,784.86,H-4F
